#,STATUT,MARCHE FR,VRAIE BRAND ?,PRODUIT,BOUTIQUE,PAYS DE LEURS PUBS (%),x4 SEM.,ADS,COURBE 5 SEMAINES,PRIX,SKU,MARGE x3-x4 ?,A VERIFIER,LE VERDICT,TON VERDICT,TES NOTES,LIEN
72,🔴 BANGER,⬜ a verifier,🔵 OUI,NAC600 & NAD+ Complex,themodernformula.com,"CA 25%, AU 25%, GB 19%, NZ 19%, US 13%",3.2,546,169 > 173 > 184 > 271 > 541,39.99 USD,1,a calculer,,"🔵 A CREUSER. x3.2 en 4 sem., 546 ads - vraie brand (>=150). Fais le controle FR.",,,https://themodernformula.com
96,🟢 EXPLOSE,⬜ a verifier,🔵 OUI,2 sachets supplémentaires,lireaofficiel.com,"FR 39%, BE 27%, CA 26%, LU 7%",3.2,414,121 > 154 > 259 > 362 > 393,29.9 EUR,7,a calculer,diffuse deja en FR 39% - ouvre leur ad library,🟠 Ils diffusent deja en France. Ouvre leur ad library avant de decider.,,,https://lireaofficiel.com
51,🔴 BANGER,⬜ a verifier,⬜ non,FlexBelt™ - No Buckle. No Pressure. Just Comfort.,wellsmaison.store,"US 8%, AU 6%, CA 5%, MT 4%, IE 4%, EE 4%",3.1,77,28 > 38 > 46 > 55 > 86,19.99 USD,1,a calculer,diffuse deja en FR 4% - ouvre leur ad library,🟠 Ils diffusent deja en France. Ouvre leur ad library avant de decider.,,,https://wellsmaison.store
56,🔴 BANGER,⬜ a verifier,⬜ non,DogZen Chews,trydogzen.com,US 100%,3.1,83,27 > 42 > 51 > 76 > 83,38.99 USD,3,a calculer,,"🔵 A CREUSER. x3.1 en 4 sem., 83 ads, 6 sem. de diffusion - lancement frais (50-149). Fais le controle FR.",,,https://trydogzen.com
81,🔴 BANGER,⬜ a verifier,🔵 OUI,Pure Nilotica Shea Butter by ACROM™ - Buy 1 Get 1,natropura.com,US 100%,3.1,661,211 > 269 > 284 > 556 > 659,29.99 USD,15,a calculer,,"🔵 A CREUSER. x3.1 en 4 sem., 661 ads - vraie brand (>=150). Fais le controle FR.",,,https://natropura.com
82,🟢 EXPLOSE,⬜ a verifier,⬜ non,Limited Edition | 'Do You Want Me' | SIGNED CD,tomhighmerch.myshopify.com,"GB 56%, AT 3%, DE 3%, DK 3%, FR 3%, IE 3%",3.1,54,17 > 52,12.99 GBP,3,a calculer,diffuse deja en FR 3% - ouvre leur ad library,🟠 Ils diffusent deja en France. Ouvre leur ad library avant de decider.,,,https://tomhighmerch.myshopify.com
31,🔴 BANGER,⬜ a verifier,🔵 OUI,Sensicat - Skapa ett hem där din innekatt trivs naturligt,shopmonura.com,"SE 55%, DK 45%",3,228,74 > 121 > 138 > 180 > 224,299 SEK,3,a calculer,,"🔵 A CREUSER. x3.0 en 4 sem., 228 ads - vraie brand (>=150). Fais le controle FR.",,,https://shopmonura.com
41,🔴 BANGER,⬜ a verifier,🔵 OUI,Pennello Scolpisci Viso K Glow,launavia.com,"GB 45%, US 37%",2.9,680,225 > 322 > 481 > 568 > 657,29.99 EUR,2,a calculer,,"🔵 A CREUSER. x2.9 en 4 sem., 680 ads - vraie brand (>=150). Fais le controle FR.",,,https://launavia.com
46,🔴 BANGER,⬜ a verifier,🔵 OUI,AutoScooper 12 Cat Litter Box,petpivoe.com,"US 8%, CA 5%, AU 5%, IT 4%, PT 4%, ES 4%",2.9,752,256 > 308 > 340 > 630 > 754,149 USD,11,a calculer,diffuse deja en FR 4% - ouvre leur ad library,🟠 Ils diffusent deja en France. Ouvre leur ad library avant de decider.,,,https://petpivoe.com
57,🔴 BANGER,⬜ a verifier,⬜ non,Verta SpineFlex®,tryverta.co,"US 8%, AU 8%, CA 7%, IE 7%, ES 7%, FR 7%",2.9,66,21 > 22 > 6 > 44 > 60,189.99 USD,3,a calculer,diffuse deja en FR 7% - ouvre leur ad library,🟠 Ils diffusent deja en France. Ouvre leur ad library avant de decider.,,,https://tryverta.co
73,🔴 BANGER,⬜ a verifier,🔵 OUI,Renora™ - Intertrigo Relief Cream,getnorthlife.com,"GB 24%, US 9%, BR 5%, RO 4%, PT 4%, FR 4%",2.9,314,106 > 178 > 234 > 246 > 304,39.95 USD,2,a calculer,diffuse deja en FR 4% - ouvre leur ad library,🟠 Ils diffusent deja en France. Ouvre leur ad library avant de decider.,,,https://getnorthlife.com
89,🟢 EXPLOSE,⬜ a verifier,🔵 OUI,Cocoony Brush for Short Hair,cocoony-hair.com,"US 26%, CA 26%, AU 25%, GB 23%",2.9,451,155 > 226 > 315 > 408 > 448,39.99 EUR,5,a calculer,,"🔵 A CREUSER. x2.9 en 4 sem., 451 ads - vraie brand (>=150). Fais le controle FR.",,,https://cocoony-hair.com
38,🔴 BANGER,⬜ a verifier,🔵 OUI,Premium Full Cover Dentures,thevellumlab.com,"US 24%, CA 21%, AU 21%, NZ 20%, GB 14%",2.8,163,58 > 109 > 150 > 162,60 USD,1,a calculer,,"🔵 A CREUSER. x2.8 en 4 sem., 163 ads, 4 sem. de diffusion - vraie brand (>=150). Fais le controle FR.",,,https://thevellumlab.com
58,🔴 BANGER,⬜ a verifier,⬜ non,Cherry Limeade Iron Lollipops,ironwomen.co,"CA 9%, NZ 8%, AU 8%, US 8%, GB 6%",2.8,76,17 > 17 > 22 > 30 > 48,29.9 USD,2,a calculer,diffuse deja en FR 2% - ouvre leur ad library,🟠 Ils diffusent deja en France. Ouvre leur ad library avant de decider.,,,https://ironwomen.co
99,🟢 EXPLOSE,⬜ a verifier,🔵 OUI,EasySleep® Duvet – The 2-in-1 quick-dry duvet,cozily-shop.com,"GB 94%, US 6%",2.8,343,121 > 196 > 231 > 290 > 334,69.99 GBP,12,a calculer,,🔴 TROP TARD ? 7543 visites/mois : deja visibles partout.,,,https://cozily-shop.com
